"text","word_scores","compound","pos","neu","neg","but_count"
"After Joe Manchin tanked a major clean-energy plan, Biden will reportedly unveil a massive $500 billion effort to fight the climate crisis","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.6, 0, 0, -3.1}",-0.772,0,0.749,0.251,0
"After Joe Manchin tanked a major clean-energy plan, Biden will reportedly unveil a massive $500 billion effort to fight the climate crisis","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.6, 0, 0, -3.1}",-0.772,0,0.749,0.251,0
"After Joe Manchin tanked a major clean-energy plan, Biden will reportedly unveil a massive $500 billion effort to fight the climate crisis","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.6, 0, 0, -3.1}",-0.772,0,0.749,0.251,0
"After Joe Manchin tanked a major clean-energy plan, Biden will reportedly unveil a massive $500 billion effort to fight the climate crisis","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.6, 0, 0, -3.1}",-0.772,0,0.749,0.251,0
"After Joe Manchin tanked a major clean-energy plan, Biden will reportedly unveil a massive $500 billion effort to fight the climate crisis","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.6, 0, 0, -3.1}",-0.772,0,0.749,0.251,0
"After Joe Manchin tanked a major clean-energy plan, Biden will reportedly unveil a massive $500 billion effort to fight the climate crisis","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.6, 0, 0, -3.1}",-0.772,0,0.749,0.251,0
"After Joe Manchin tanked a major clean-energy plan, Biden will reportedly unveil a massive $500 billion effort to fight the climate crisis","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.6, 0, 0, -3.1}",-0.772,0,0.749,0.251,0
"After Joe Manchin tanked a major clean-energy plan, Biden will reportedly unveil a massive $500 billion effort to fight the climate crisis","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.6, 0, 0, -3.1}",-0.772,0,0.749,0.251,0
"After Joe Manchin tanked a major clean-energy plan, Biden will reportedly unveil a massive $500 billion effort to fight the climate crisis","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.6, 0, 0, -3.1}",-0.772,0,0.749,0.251,0
"After Joe Manchin tanked a major clean-energy plan, Biden will reportedly unveil a massive $500 billion effort to fight the climate crisis","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.6, 0, 0, -3.1}",-0.772,0,0.749,0.251,0
"After Joe Manchin tanked a major clean-energy plan, Biden will reportedly unveil a massive $500 billion effort to fight the climate crisis","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.6, 0, 0, -3.1}",-0.772,0,0.749,0.251,0
"After Joe Manchin tanked a major clean-energy plan, Biden will reportedly unveil a massive $500 billion effort to fight the climate crisis","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.6, 0, 0, -3.1}",-0.772,0,0.749,0.251,0
"After Joe Manchin tanked a major clean-energy plan, Biden will reportedly unveil a massive $500 billion effort to fight the climate crisis","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.6, 0, 0, -3.1}",-0.772,0,0.749,0.251,0
"Is it time to scrap the Reconciliation Package and this version of the Build Back Better agenda","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.9, 0}",0.44,0.153,0.847,0,0
"Is it time to scrap the Reconciliation Package and this version of the Build Back Better agenda","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.9, 0}",0.44,0.153,0.847,0,0
"David Pakman, self-described pragmatic progressive, is arguing for killing the BIF and current $1.75 trillion ($175 billion a year) version of reconciliation bill. What are your thoughts the arguments he makes? What are your thoughts on what I suggest House Progressives do?","{0, 0, 0, 0, 0, 0, -2, 0, -3.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.888,0,0.789,0.211,0
"David Pakman, self-described pragmatic progressive, is arguing for killing the BIF and current $1.75 trillion ($175 billion a year) version of reconciliation bill. What are your thoughts the arguments he makes? What are your thoughts on what I suggest House Progressives do?","{0, 0, 0, 0, 0, 0, -2, 0, -3.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.888,0,0.789,0.211,0
"David Pakman, self-described pragmatic progressive, is arguing for killing the BIF and current $1.75 trillion ($175 billion a year) version of reconciliation bill. What are your thoughts the arguments he makes? What are your thoughts on what I suggest House Progressives do?","{0, 0, 0, 0, 0, 0, -2, 0, -3.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.888,0,0.789,0.211,0
"David Pakman, self-described pragmatic progressive, is arguing for killing the BIF and current $1.75 trillion ($175 billion a year) version of reconciliation bill. What are your thoughts the arguments he makes? What are your thoughts on what I suggest House Progressives do?","{0, 0, 0, 0, 0, 0, -2, 0, -3.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.888,0,0.789,0.211,0
"David Pakman, self-described pragmatic progressive, is arguing for killing the BIF and current $1.75 trillion ($175 billion a year) version of reconciliation bill. What are your thoughts the arguments he makes? What are your thoughts on what I suggest House Progressives do?","{0, 0, 0, 0, 0, 0, -2, 0, -3.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.888,0,0.789,0.211,0
"David Pakman, self-described pragmatic progressive, is arguing for killing the BIF and current $1.75 trillion ($175 billion a year) version of reconciliation bill. What are your thoughts the arguments he makes? What are your thoughts on what I suggest House Progressives do?","{0, 0, 0, 0, 0, 0, -2, 0, -3.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.888,0,0.789,0.211,0
"David Pakman, self-described pragmatic progressive, is arguing for killing the BIF and current $1.75 trillion ($175 billion a year) version of reconciliation bill. What are your thoughts the arguments he makes? What are your thoughts on what I suggest House Progressives do?","{0, 0, 0, 0, 0, 0, -2, 0, -3.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.888,0,0.789,0.211,0
"David Pakman, self-described pragmatic progressive, is arguing for killing the BIF and current $1.75 trillion ($175 billion a year) version of reconciliation bill. What are your thoughts the arguments he makes? What are your thoughts on what I suggest House Progressives do?","{0, 0, 0, 0, 0, 0, -2, 0, -3.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.888,0,0.789,0.211,0
"David Pakman, self-described pragmatic progressive, is arguing for killing the BIF and current $1.75 trillion ($175 billion a year) version of reconciliation bill. What are your thoughts the arguments he makes? What are your thoughts on what I suggest House Progressives do?","{0, 0, 0, 0, 0, 0, -2, 0, -3.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.888,0,0.789,0.211,0
"David Pakman, self-described pragmatic progressive, is arguing for killing the BIF and current $1.75 trillion ($175 billion a year) version of reconciliation bill. What are your thoughts the arguments he makes? What are your thoughts on what I suggest House Progressives do?","{0, 0, 0, 0, 0, 0, -2, 0, -3.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.888,0,0.789,0.211,0
"David Pakman, self-described pragmatic progressive, is arguing for killing the BIF and current $1.75 trillion ($175 billion a year) version of reconciliation bill. What are your thoughts the arguments he makes? What are your thoughts on what I suggest House Progressives do?","{0, 0, 0, 0, 0, 0, -2, 0, -3.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.888,0,0.789,0.211,0
"David Pakman, self-described pragmatic progressive, is arguing for killing the BIF and current $1.75 trillion ($175 billion a year) version of reconciliation bill. What are your thoughts the arguments he makes? What are your thoughts on what I suggest House Progressives do?","{0, 0, 0, 0, 0, 0, -2, 0, -3.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.888,0,0.789,0.211,0
"David Pakman, self-described pragmatic progressive, is arguing for killing the BIF and current $1.75 trillion ($175 billion a year) version of reconciliation bill. What are your thoughts the arguments he makes? What are your thoughts on what I suggest House Progressives do?","{0, 0, 0, 0, 0, 0, -2, 0, -3.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.888,0,0.789,0.211,0
"David Pakman, self-described pragmatic progressive, is arguing for killing the BIF and current $1.75 trillion ($175 billion a year) version of reconciliation bill. What are your thoughts the arguments he makes? What are your thoughts on what I suggest House Progressives do?","{0, 0, 0, 0, 0, 0, -2, 0, -3.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.888,0,0.789,0.211,0
"David Pakman, self-described pragmatic progressive, is arguing for killing the BIF and current $1.75 trillion ($175 billion a year) version of reconciliation bill. What are your thoughts the arguments he makes? What are your thoughts on what I suggest House Progressives do?","{0, 0, 0, 0, 0, 0, -2, 0, -3.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.888,0,0.789,0.211,0
"David Pakman, self-described pragmatic progressive, is arguing for killing the BIF and current $1.75 trillion ($175 billion a year) version of reconciliation bill. What are your thoughts the arguments he makes? What are your thoughts on what I suggest House Progressives do?","{0, 0, 0, 0, 0, 0, -2, 0, -3.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.888,0,0.789,0.211,0
"David Pakman, self-described pragmatic progressive, is arguing for killing the BIF and current $1.75 trillion ($175 billion a year) version of reconciliation bill. What are your thoughts the arguments he makes? What are your thoughts on what I suggest House Progressives do?","{0, 0, 0, 0, 0, 0, -2, 0, -3.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.888,0,0.789,0.211,0
"David Pakman, self-described pragmatic progressive, is arguing for killing the BIF and current $1.75 trillion ($175 billion a year) version of reconciliation bill. What are your thoughts the arguments he makes? What are your thoughts on what I suggest House Progressives do?","{0, 0, 0, 0, 0, 0, -2, 0, -3.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.888,0,0.789,0.211,0
"David Pakman, self-described pragmatic progressive, is arguing for killing the BIF and current $1.75 trillion ($175 billion a year) version of reconciliation bill. What are your thoughts the arguments he makes? What are your thoughts on what I suggest House Progressives do?","{0, 0, 0, 0, 0, 0, -2, 0, -3.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.888,0,0.789,0.211,0
"David Pakman, self-described pragmatic progressive, is arguing for killing the BIF and current $1.75 trillion ($175 billion a year) version of reconciliation bill. What are your thoughts the arguments he makes? What are your thoughts on what I suggest House Progressives do?","{0, 0, 0, 0, 0, 0, -2, 0, -3.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.888,0,0.789,0.211,0
"David Pakman, self-described pragmatic progressive, is arguing for killing the BIF and current $1.75 trillion ($175 billion a year) version of reconciliation bill. What are your thoughts the arguments he makes? What are your thoughts on what I suggest House Progressives do?","{0, 0, 0, 0, 0, 0, -2, 0, -3.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.888,0,0.789,0.211,0
"David Pakman, self-described pragmatic progressive, is arguing for killing the BIF and current $1.75 trillion ($175 billion a year) version of reconciliation bill. What are your thoughts the arguments he makes? What are your thoughts on what I suggest House Progressives do?","{0, 0, 0, 0, 0, 0, -2, 0, -3.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.888,0,0.789,0.211,0
"David Pakman, self-described pragmatic progressive, is arguing for killing the BIF and current $1.75 trillion ($175 billion a year) version of reconciliation bill. What are your thoughts the arguments he makes? What are your thoughts on what I suggest House Progressives do?","{0, 0, 0, 0, 0, 0, -2, 0, -3.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.888,0,0.789,0.211,0
"David Pakman, self-described pragmatic progressive, is arguing for killing the BIF and current $1.75 trillion ($175 billion a year) version of reconciliation bill. What are your thoughts the arguments he makes? What are your thoughts on what I suggest House Progressives do?","{0, 0, 0, 0, 0, 0, -2, 0, -3.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.888,0,0.789,0.211,0
"David Pakman, self-described pragmatic progressive, is arguing for killing the BIF and current $1.75 trillion ($175 billion a year) version of reconciliation bill. What are your thoughts the arguments he makes? What are your thoughts on what I suggest House Progressives do?","{0, 0, 0, 0, 0, 0, -2, 0, -3.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.888,0,0.789,0.211,0
"David Pakman, self-described pragmatic progressive, is arguing for killing the BIF and current $1.75 trillion ($175 billion a year) version of reconciliation bill. What are your thoughts the arguments he makes? What are your thoughts on what I suggest House Progressives do?","{0, 0, 0, 0, 0, 0, -2, 0, -3.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.888,0,0.789,0.211,0
"David Pakman, self-described pragmatic progressive, is arguing for killing the BIF and current $1.75 trillion ($175 billion a year) version of reconciliation bill. What are your thoughts the arguments he makes? What are your thoughts on what I suggest House Progressives do?","{0, 0, 0, 0, 0, 0, -2, 0, -3.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.888,0,0.789,0.211,0
"David Pakman, self-described pragmatic progressive, is arguing for killing the BIF and current $1.75 trillion ($175 billion a year) version of reconciliation bill. What are your thoughts the arguments he makes? What are your thoughts on what I suggest House Progressives do?","{0, 0, 0, 0, 0, 0, -2, 0, -3.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.888,0,0.789,0.211,0
"David Pakman, self-described pragmatic progressive, is arguing for killing the BIF and current $1.75 trillion ($175 billion a year) version of reconciliation bill. What are your thoughts the arguments he makes? What are your thoughts on what I suggest House Progressives do?","{0, 0, 0, 0, 0, 0, -2, 0, -3.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.888,0,0.789,0.211,0
"David Pakman, self-described pragmatic progressive, is arguing for killing the BIF and current $1.75 trillion ($175 billion a year) version of reconciliation bill. What are your thoughts the arguments he makes? What are your thoughts on what I suggest House Progressives do?","{0, 0, 0, 0, 0, 0, -2, 0, -3.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.888,0,0.789,0.211,0
