"text","pos","neg"
"After Joe Manchin tanked a major clean-energy plan, Biden will reportedly unveil a massive $500 billion effort to fight the climate crisis",0,0.251
"After Joe Manchin tanked a major clean-energy plan, Biden will reportedly unveil a massive $500 billion effort to fight the climate crisis",0,0.251
"After Joe Manchin tanked a major clean-energy plan, Biden will reportedly unveil a massive $500 billion effort to fight the climate crisis",0,0.251
"After Joe Manchin tanked a major clean-energy plan, Biden will reportedly unveil a massive $500 billion effort to fight the climate crisis",0,0.251
"After Joe Manchin tanked a major clean-energy plan, Biden will reportedly unveil a massive $500 billion effort to fight the climate crisis",0,0.251
"After Joe Manchin tanked a major clean-energy plan, Biden will reportedly unveil a massive $500 billion effort to fight the climate crisis",0,0.251
"After Joe Manchin tanked a major clean-energy plan, Biden will reportedly unveil a massive $500 billion effort to fight the climate crisis",0,0.251
"After Joe Manchin tanked a major clean-energy plan, Biden will reportedly unveil a massive $500 billion effort to fight the climate crisis",0,0.251
"Joe Manchin, who is holding up crucial climate change initiatives in Biden's reconciliation bill, collects $500,000 a year from coal stocks dividends: report",0,0
"Joe Manchin, who is holding up crucial climate change initiatives in Biden's reconciliation bill, collects $500,000 a year from coal stocks dividends: report",0,0
"[National] - Joe Manchin demands climate provisions stripped from budget bill | NY Post",0,0
"Manchin Rejects $3.5 Trillion Social Investment After Backing $9 Trillion for Pentagon | ""Ever notice how 'deficit hawks' vote for record-high defense spending, yet claim bills that help people and challenge lobbyists are 'too much?'"" asked Rep. Alexandria Ocasio-Cortez.",0.145,0.13
"'Cruel and Unfathomable': Sinema Pushing $100 Billion in Climate Cuts From Reconciliation Bill",0,0.353
"Explainer: Democratic Senator Manchin upends Biden's hope to reshape economy",0.244,0
"Liberalism is a cult, and all pro-liberal argumentation requires axiomatic assumptions that limit honest discourse. Therefore it should be concluded that liberals are not rational people.",0.117,0
"Liberalism is a cult, and all pro-liberal argumentation requires axiomatic assumptions that limit honest discourse. Therefore it should be concluded that liberals are not rational people.",0.117,0
"Liberalism is a cult, and all pro-liberal argumentation requires axiomatic assumptions that limit honest discourse. Therefore it should be concluded that liberals are not rational people.",0.117,0
"Liberalism is a cult, and all pro-liberal argumentation requires axiomatic assumptions that limit honest discourse. Therefore it should be concluded that liberals are not rational people.",0.117,0
"Liberalism is a cult, and all pro-liberal argumentation requires axiomatic assumptions that limit honest discourse. Therefore it should be concluded that liberals are not rational people.",0.117,0
"Liberalism is a cult, and all pro-liberal argumentation requires axiomatic assumptions that limit honest discourse. Therefore it should be concluded that liberals are not rational people.",0.117,0
"Liberalism is a cult, and all pro-liberal argumentation requires axiomatic assumptions that limit honest discourse. Therefore it should be concluded that liberals are not rational people.",0.117,0
"Liberalism is a cult, and all pro-liberal argumentation requires axiomatic assumptions that limit honest discourse. Therefore it should be concluded that liberals are not rational people.",0.117,0
"Liberalism is a cult, and all pro-liberal argumentation requires axiomatic assumptions that limit honest discourse. Therefore it should be concluded that liberals are not rational people.",0.117,0
"Liberalism is a cult, and all pro-liberal argumentation requires axiomatic assumptions that limit honest discourse. Therefore it should be concluded that liberals are not rational people.",0.117,0
"Liberalism is a cult, and all pro-liberal argumentation requires axiomatic assumptions that limit honest discourse. Therefore it should be concluded that liberals are not rational people.",0.117,0
"Liberalism is a cult, and all pro-liberal argumentation requires axiomatic assumptions that limit honest discourse. Therefore it should be concluded that liberals are not rational people.",0.117,0
"Liberalism is a cult, and all pro-liberal argumentation requires axiomatic assumptions that limit honest discourse. Therefore it should be concluded that liberals are not rational people.",0.117,0
"Liberalism is a cult, and all pro-liberal argumentation requires axiomatic assumptions that limit honest discourse. Therefore it should be concluded that liberals are not rational people.",0.117,0
"Liberalism is a cult, and all pro-liberal argumentation requires axiomatic assumptions that limit honest discourse. Therefore it should be concluded that liberals are not rational people.",0.117,0
"Liberalism is a cult, and all pro-liberal argumentation requires axiomatic assumptions that limit honest discourse. Therefore it should be concluded that liberals are not rational people.",0.117,0
"Liberalism is a cult, and all pro-liberal argumentation requires axiomatic assumptions that limit honest discourse. Therefore it should be concluded that liberals are not rational people.",0.117,0
"Liberalism is a cult, and all pro-liberal argumentation requires axiomatic assumptions that limit honest discourse. Therefore it should be concluded that liberals are not rational people.",0.117,0
"Liberalism is a cult, and all pro-liberal argumentation requires axiomatic assumptions that limit honest discourse. Therefore it should be concluded that liberals are not rational people.",0.117,0
"Liberalism is a cult, and all pro-liberal argumentation requires axiomatic assumptions that limit honest discourse. Therefore it should be concluded that liberals are not rational people.",0.117,0
"Liberalism is a cult, and all pro-liberal argumentation requires axiomatic assumptions that limit honest discourse. Therefore it should be concluded that liberals are not rational people.",0.117,0
"Liberalism is a cult, and all pro-liberal argumentation requires axiomatic assumptions that limit honest discourse. Therefore it should be concluded that liberals are not rational people.",0.117,0
"Liberalism is a cult, and all pro-liberal argumentation requires axiomatic assumptions that limit honest discourse. Therefore it should be concluded that liberals are not rational people.",0.117,0
"Liberalism is a cult, and all pro-liberal argumentation requires axiomatic assumptions that limit honest discourse. Therefore it should be concluded that liberals are not rational people.",0.117,0
"Liberalism is a cult, and all pro-liberal argumentation requires axiomatic assumptions that limit honest discourse. Therefore it should be concluded that liberals are not rational people.",0.117,0
"Liberalism is a cult, and all pro-liberal argumentation requires axiomatic assumptions that limit honest discourse. Therefore it should be concluded that liberals are not rational people.",0.117,0
"Liberalism is a cult, and all pro-liberal argumentation requires axiomatic assumptions that limit honest discourse. Therefore it should be concluded that liberals are not rational people.",0.117,0
"Liberalism is a cult, and all pro-liberal argumentation requires axiomatic assumptions that limit honest discourse. Therefore it should be concluded that liberals are not rational people.",0.117,0
"Liberalism is a cult, and all pro-liberal argumentation requires axiomatic assumptions that limit honest discourse. Therefore it should be concluded that liberals are not rational people.",0.117,0
"Liberalism is a cult, and all pro-liberal argumentation requires axiomatic assumptions that limit honest discourse. Therefore it should be concluded that liberals are not rational people.",0.117,0
"Liberalism is a cult, and all pro-liberal argumentation requires axiomatic assumptions that limit honest discourse. Therefore it should be concluded that liberals are not rational people.",0.117,0
"Liberalism is a cult, and all pro-liberal argumentation requires axiomatic assumptions that limit honest discourse. Therefore it should be concluded that liberals are not rational people.",0.117,0
"Liberalism is a cult, and all pro-liberal argumentation requires axiomatic assumptions that limit honest discourse. Therefore it should be concluded that liberals are not rational people.",0.117,0
